outcome,post_date,estimate,std_error,t_stat,p_value,n_obs,n_tags,placebo_type
log_questions,2021-03-31,0.1640835278168842,0.05711965748326464,2.872628006653553,0.004074119583073799,25627,100,rolling_monthly
log_answers,2021-03-31,0.194295845063491,0.05006083083908994,3.881194974330617,0.00010420835981950205,25627,100,rolling_monthly
log_questions,2021-04-30,0.16178130827272064,0.05675992860606412,2.850273286908896,0.0043717023263281085,25627,100,rolling_monthly
log_answers,2021-04-30,0.19284568672830027,0.05001638398698462,3.8556503160740894,0.00011570820101347579,25627,100,rolling_monthly
log_questions,2021-05-31,0.16040732813349373,0.056344650916823426,2.846895411070853,0.0044183432718913895,25627,100,rolling_monthly
log_answers,2021-05-31,0.19085744627210044,0.04992492836465852,3.8228887356242454,0.0001322135758168308,25627,100,rolling_monthly
log_questions,2021-06-30,0.15976300515715586,0.05640907258259336,2.8322218012578233,0.004626232419697507,25627,100,rolling_monthly
log_answers,2021-06-30,0.19011857239003677,0.050125743370712114,3.7928329757423773,0.00014928500238120535,25627,100,rolling_monthly
log_questions,2021-07-31,0.1596108113265083,0.055863370703167416,2.8571639934619713,0.004277938267642778,25627,100,rolling_monthly
log_answers,2021-07-31,0.1892101854823871,0.04997735399324407,3.7859184283338507,0.0001534959137416969,25627,100,rolling_monthly
log_questions,2021-08-31,0.15766725772851686,0.05543848824797543,2.844003556216646,0.004458631183545725,25627,100,rolling_monthly
log_answers,2021-08-31,0.18649555452883212,0.04954671473839676,3.764034719829878,0.00016757179736637262,25627,100,rolling_monthly
log_questions,2021-09-30,0.15718884329684762,0.055363639602837786,2.839207184073761,0.004526186398572607,25627,100,rolling_monthly
log_answers,2021-09-30,0.1848885255100095,0.049413111210161814,3.741689624109059,0.00018319143021372497,25627,100,rolling_monthly
log_questions,2021-10-31,0.1538530796404821,0.05533147932028702,2.7805705094183626,0.005430362460713045,25627,100,rolling_monthly
log_answers,2021-10-31,0.18155432203791994,0.04959134322311066,3.6610083582755553,0.00025173648011667105,25627,100,rolling_monthly
log_questions,2021-11-30,0.1488517777769991,0.055817141646542556,2.666775355850192,0.007663161213442349,25627,100,rolling_monthly
log_answers,2021-11-30,0.17835188988504977,0.049992360944869786,3.5675828569435115,0.00036095586445417105,25627,100,rolling_monthly
log_questions,2021-12-31,0.14755894728516109,0.0559162758229481,2.6389265936162856,0.00832200013864215,25627,100,rolling_monthly
log_answers,2021-12-31,0.17680756787643154,0.05031441688360878,3.5140538006320643,0.00044209485757873423,25627,100,rolling_monthly
log_questions,2022-01-31,0.14859608777372255,0.055342877774826764,2.6850083289545323,0.0072575326411925545,25627,100,rolling_monthly
log_answers,2022-01-31,0.177331793816187,0.050220972401358435,3.5310306697962366,0.00041468046782799917,25627,100,rolling_monthly
log_questions,2022-02-28,0.1464367780084205,0.05425915616426867,2.698839944452613,0.006962788101064321,25627,100,rolling_monthly
log_answers,2022-02-28,0.1756026685974678,0.0492833125930068,3.5631263273156164,0.000367138867082728,25627,100,rolling_monthly
log_questions,2022-03-31,0.14423360695828719,0.05328459485330701,2.7068537793214653,0.006796979671744863,25627,100,rolling_monthly
log_answers,2022-03-31,0.1753870016860061,0.0485158043292323,3.6150488301876904,0.0003008746087291847,25627,100,rolling_monthly
log_questions,2022-04-30,0.1402487801224032,0.05297350963605472,2.647526680523115,0.00811332767507289,25627,100,rolling_monthly
log_answers,2022-04-30,0.1715141230971982,0.048350433020703396,3.547313072124024,0.0003898864781479716,25627,100,rolling_monthly
log_questions,2022-05-31,0.14363872122551913,0.053409107643913496,2.689405001543556,0.007162650059202358,25627,100,rolling_monthly
log_answers,2022-05-31,0.1705087094907553,0.04879473012103004,3.494408290973778,0.00047592711922050945,25627,100,rolling_monthly
log_questions,2022-06-30,0.14847415182229523,0.054322372014801425,2.7332045033276513,0.006276500117436745,25627,100,rolling_monthly
log_answers,2022-06-30,0.17484977210713828,0.04982567095743765,3.509230658559508,0.0004501865268469185,25627,100,rolling_monthly
log_questions,2022-07-31,0.15456042192505826,0.054872313192559086,2.816728745928234,0.004855309158739773,25627,100,rolling_monthly
log_answers,2022-07-31,0.17679427991179358,0.04976370733478041,3.5526750192148584,0.00038202961321043283,25627,100,rolling_monthly
log_questions,2022-08-31,0.1689983199466228,0.05764055321706774,2.9319343849840305,0.003371598912848217,25627,100,rolling_monthly
log_answers,2022-08-31,0.1839103548657717,0.05154047945059153,3.568270160196598,0.00036001100993021673,25627,100,rolling_monthly
log_questions,2022-09-30,0.1795926784560066,0.058597542464057954,3.064850007424178,0.002180087127204633,25627,100,rolling_monthly
log_answers,2022-09-30,0.19319384328239383,0.053109437682873385,3.637655597786428,0.0002756783184607592,25627,100,rolling_monthly
