tag,raw_folder_exists,n_json_files,first_json_file,last_json_file,manifest_status_if_available,failed_windows_if_available,page_cap_hit_if_available,status
php,True,22,php_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,php_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page022.json,complete:1,0,0,ok_raw_present
postgresql,True,41,postgresql_2025-01-01T00-00-00Z_2025-02-01T00-00-00Z_page001.json,postgresql_2025-12-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,complete:17,0,0,ok_raw_present
powershell,True,12,powershell_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,powershell_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page012.json,complete:1,0,0,ok_raw_present
python,True,137,python_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,python_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page137.json,complete:1,0,0,ok_raw_present
python-3.x,True,10,python-3dotx_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,python-3dotx_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page010.json,complete:1,0,0,ok_raw_present
r,True,33,r_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,r_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page033.json,complete:1,0,0,ok_raw_present
react-native,True,19,react-native_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,react-native_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page019.json,complete:1,0,0,ok_raw_present
reactjs,True,33,reactjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,reactjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page033.json,complete:1,0,0,ok_raw_present
regex,True,5,regex_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,regex_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
rest,True,4,rest_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,rest_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
ruby,True,3,ruby_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,ruby_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
ruby-on-rails,True,5,ruby-on-rails_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,ruby-on-rails_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
scala,True,3,scala_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,scala_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
selenium,True,17,chromedriver_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,webdriver_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,complete:5,0,0,ok_raw_present
shell,True,3,shell_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,shell_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
spring,True,13,spring_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,spring_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page013.json,complete:1,0,0,ok_raw_present
spring-boot,True,23,spring-boot_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,spring-boot_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page023.json,complete:1,0,0,ok_raw_present
